numero_votavel,sigla_uf,nome_partido,nome_votavel,total_votos
1090,BA,PRB,ADSON MUNIZ,478
4322,BA,PV,TARCISIO GAMA,1565
5170,BA,PEN,CHARLES BAIANO,254
5121,BA,PEN,CLAUDIA PATROCINIO,183
2510,BA,DEM,THAIZE DE HELIO,518
4318,BA,PV,IRENE ROSA,241
1418,BA,PTB,MARIA DAS GRAÇAS,163
7013,BA,PT do B,DIOGO ALVES,157
5193,BA,PEN,NEL EMANOEL COSTA,1320
2811,BA,PRTB,LUIS PIMENTEL,222
2708,BA,PSDC,CARMEM MELHOR,207
3122,BA,PHS,MARIVALDO DO FLAMENGO,60
7061,BA,PT do B,ANTONIO JORGE,328
2014,BA,PSC,SARA 2014,341
2818,BA,PRTB,PINHEIRO,84
5021,PE,PSOL,ROBERTO NUMERIANO,3611
5050,PE,PSOL,DR MARCOS,1656
6510,PE,PC do B,LUCIANA SANTOS,85053
7777,PE,SD,AUGUSTO COUTINHO,67918
1010,PE,PRB,CARLOS GERALDO,56597
1490,PE,PTB,SOLDADO ALBERISSON,14524
1616,PE,PSTU,RAPHAELA CARVALHO,3898
1720,PE,PSL,MOISES,9159
2525,PE,DEM,MENDONÇA FILHO,88250
4012,PE,PSB,MARINALDO ROSENDO,97380
4020,PE,PSB,TADEU ALENCAR,102669
4310,PE,PV,RENÊ PATRIOTA,13065
4455,PE,PRP,JADSON,2646
1011,PE,PRB,ALDO AMARAL,12291
1234,PE,PDT,WOLNEY QUEIROZ,86739
55,PE,PSD,PSD,3495
44,PE,PRP,PRP,5549
9090,PE,PROS,GILSON LIMA,6140
5010,PE,PSOL,MARIOZINHO RIBEIRO,315
65,PE,PC do B,PC DO B,3011
1133,PE,PP,PASTOR VILALBA,11199
3140,PE,PHS,KAIO MANIÇOBA,28585
5051,PE,PSOL,CRISTIANE MARIA,254
4400,PE,PRP,RICARDO DA XEROX,1989
4499,PE,PRP,TOTA,713
2890,PE,PRTB,RUI LEITE,1739
3314,PE,PMN,MANOELZINHO - MENINO NOVO,1248
10,PE,PRB,PRB,5803
28,PE,PRTB,PRTB,749
2121,PE,PCB,GERLANE,918
2844,PE,PRTB,ELIENE BARROS,80
4433,PE,PRP,DRA CLAUDOMIRA,7616
1345,PE,PT,FABIO GALVAO,3064
3333,PE,PMN,LISSANDRO FAGUNDES,504
1422,PE,PTB,SARGENTO SANTIAGO,2493
3311,PE,PMN,JOÃO BOSCO,1222
1478,PE,PTB,DAMIÃO BARROS,363
7077,PE,PT do B,INALDO RAIO X,3064
27,PE,PSDC,PSDC,579
3171,PE,PHS,MACACO TIÃO MARILIA,44
3123,PE,PHS,FERNANDO RAMOS,1068
1433,PE,PTB,JOAO DE DEUS,453
2811,PE,PRTB,PROFESSOR LAELSON COSTA,707
4025,PE,PSB,PAULA DE JOCA,335
5023,PE,PSOL,VALMIR GUERRA,208
3122,PE,PHS,TERNURINHA,419
1466,PE,PTB,MAURICIO MANDELA,315
3370,PE,PMN,KARLA BARBOSA,10
5435,PE,PPL,IRMÃ HORTENCIA,122
1447,PE,PTB,CARMINHA MATOS,55
1002,PE,PRB,ROBERTA KELLY,15
1727,PE,PSL,ROZENILDA SANTOS,8
1707,PE,PSL,NEIDE SOARES,16
1313,RS,PT,HENRIQUE FONTANA,128981
1314,RS,PT,MARCO MAIA,133639
1500,RS,PMDB,ALCEU MOREIRA,152421
1510,RS,PMDB,JOSÉ FOGAÇA,103006
1515,RS,PMDB,GIOVANI FELTES,151406
1516,RS,PMDB,GAUCHÃO HERMES SPOLAOR,1999
1533,RS,PMDB,MOISÉS SCUSSEL,15865
4012,RS,PSB,HEITOR SCHUCH,101243
4041,RS,PSB,VITOR,6998
4055,RS,PSB,JERONIMO,849
4524,RS,PSDB,PAULA IORIS,21329
6522,RS,PC do B,JOSE PROVIDEL,2957
6565,RS,PC do B,JOÃO DERLY,106991
1122,RS,PP,RENATO MOLLING,102770
1188,RS,PP,ELAINE AMES,1102
1234,RS,PDT,FLAVIO ZACHER,31483
1300,RS,PT,RONALDO ZULKE,93926
1307,RS,PT,PAULO PIMENTA,140868
4544,RS,PSDB,YEDA CRUSIUS,71794
1373,RS,PT,FABIANO PEREIRA,74511
1388,RS,PT,JOÃO SEM MEDO,2346
1452,RS,PTB,TIAGO TESSARI,2551
2388,RS,PPS,RENATO BOLZZONI,1798
1111,RS,PP,COVATTI FILHO,115131
10,RS,PRB,PRB,8081
50,RS,PSOL,PSOL,23508
9090,RS,PROS,VALDECIR O NEGO,10924
1445,RS,PTB,FLAVIO DIAS AMIGO DOS ANIMAIS,4158
1580,RS,PMDB,LOURDES SPRENGER,17234
4060,RS,PSB,MARCONE,983
20,RS,PSC,PSC,5230
25,RS,DEM,DEM,3929
1415,RS,PTB,ALCIONES DAROS TCHONY DA SERRA,4048
1501,RS,PMDB,VILSINHO JACQUES,16285
6560,RS,PC do B,FATIMA VIEIRA,399
1502,RS,PMDB,PERONDI,109864
1530,RS,PMDB,DANIEL KIELING,6634
1242,RS,PDT,LUCAS,17815
1330,RS,PT,IVAR PAVAN,55549
1120,RS,PP,LUCIANO BARROS,2246
54,RS,PPL,PPL,2060
5112,RS,PEN,ADÃO NAFFIN,1216
2555,RS,DEM,AIRTON LOSS,1069
65,RS,PC do B,PC DO B,4502
1199,RS,PP,OSVALDO GOMES,25491
3333,RS,PMN,GUSTAVO CURIA,1997
1524,RS,PMDB,GREICY FERNANDES,602
2015,RS,PSC,IRAN JASPER,296
2815,RS,PRTB,MIRIAM,58
4555,RS,PSDB,CARLOS WIENKE,2823
5001,RS,PSOL,CELSO DALBERTO,1270
2323,RS,PPS,RUY NORONHA,2329
5567,RS,PSD,DR MOACIR,1699
1340,RS,PT,CLARICE ARAGUAIA,1147
2300,RS,PPS,CHICO FERRARI,2260
4022,RS,PSB,DANIEL DUARTE,278
1422,RS,PTB,ANGELA REFATTI,1435
1444,RS,PTB,RENAN BERLEZE RECCHIA,1335
4044,RS,PSB,FRANCISCO DA MENSAGEM,2904
23,RS,PPS,PPS,2869
1720,RS,PSL,GETULIO VARGAS,2237
5030,RS,PSOL,ESTER RAMOS,2405
1511,RS,PMDB,JULIANA RADAELLI,2438
1132,RS,PP,SALLVADOR,1589
5015,RS,PSOL,CRISTIANE MACHADO,724
5050,RS,PSOL,LUCAS MAROSTICA,5806
4050,RS,PSB,FERRONATO,13266
4522,RS,PSDB,JOEL JUNIOR,1188
28,RS,PRTB,PRTB,891
4045,RS,PSB,NARA PAHIM,404
27,RS,PSDC,PSDC,494
2007,RS,PSC,SARGENTO SIDNEI,1110
90,RS,PROS,PROS,436
3131,RS,PHS,IVONE AGUIAR,529
5044,RS,PSOL,DELCI BENITES,283
1155,RS,PP,CLAUDIO DIAZ,32877
2121,RS,PCB,EDSON CANABARRO,878
1570,RS,PMDB,MARLENE BACKES,1317
2011,RS,PSC,DONA ROSA,235
5454,RS,PPL,MARIARA CRUZ,2634
1466,RS,PTB,DR. OVIDIO,8915
